a,b,c,d,e
1270|1271|1272	que je vois querant en quelque lieu je les truisse|Et cil dist|puis qu il velt s en retornera:,et mente sus le cheual|et fait retourner son hoste,que lleba en qualquier lugar|que el vaya yo me tornare dixo el huesped pues vos plaz,qui iou vois querant|Etr cil dist|que dont sen retornera il|puis quil le veult,che luogo|ch io il trovasse|ch elli vuole|ch elli|si tornerà|:
	,,,,VE que' dice che
	,,,,poscia
1273	si s en vet,,E luego se torno,Si sen retorne atant,si se ne va
1274	et enmaine o lui le chevalier,,e llebo consigo el cauallero quelas armas auia dado a lançarote,& enmaine aueques lui le cheualier,e mena con esso lui il cavaliere
1275|1276|1277	qui molt est liés de ce|que Lancelos li doit I|guerredon,et prent congie de luy,que yua muy alegre de aquello|que lançarote le auia prometido,qui moult est lies de ce|que lancelot! doit|j|guerredon,che molto est lieto di ciò|che Lancellotto gli dee uno guiderdone
1278|1279|1280	Et Lancelos aquelt son chemin aprés cels|que|? il sieut tant qu il est venus el tertre en haut,lancelot print son chemin apres ceulx|qui sen uont tant quil est uenu eu tertre en hault,e lançarote se fue porel camino enpos el cauallero|e andubo tanto|fasta que paso porel otero,Et lancelot|si acuelle son chemin|por aler apres chiaus quil sieut|Tant quil est uenus el tertre en haut,E Lancellotto accoglie suo camino apresso coloro|che seguita|tanto|ch egli è Purchél penurche|Vjenhaj via venuto al poggio in alti
1281|1282	et lors voit devant lui la forest|que l en apele la forest des Trois Perilx,et lors uoit deuant luy la forest des trois perilz,e llego avna floresta|que llamauan la floresta delos tres pilares,Et lors uoit deuant lui la forest dez|iij|perieus:,Allora isguarda davanti lui|si vide la foresta|che l uomo chiama la foresta de' Tre Perigli
1283|1284	et ce|por quoi ele fu ensi apelee devisera bien li contes ça avant,et ce pour quoy elle est ainsy appellee deuisera bien le compte cy en auant,e porque fue ella|asi llamada este cuento lo deuisara aca adelante,Et chou porcoi elle est ensi apelee deuisera bien li contes cha auant,e ciò perch ella fu insi chiamata vo diviserà il conto ben qua avanti
1285	Quant il fu amont el tertre,QUant il fust amonlt eu tertre,Quando el llego ala floresta,Quant lancelot fu amont el tertre,Sl oQuand|e fu montato nel poggio
1286|1287	si esgarde devant lui|mais il ne voit nul de cels,si regarde deuant luy,e no vido aquel enpos quien yua,si regarda deuant lui|mais il ni uit nul de ceaus,si isguarda davanti lui|ma elli non vide nullo di quelli
1288	que il queroit,,e fue,que il queroit,ch elli chiedea
1289|1290|1291|1292	kar il s estoient ja ferus en la forest|Et totes voies sieut il les esclos des chevals|tant que il vient a l entree de la forest;|et lors encontre une damoisele tote chenue,et suyst les pas des cheuaulx tant quil uint a lentree de la forest|et lors encentra une damoiselle toute chanue,entonçe porende muy triste|entonçe encontro vna donçella envn muy fermoso palafren,quar il sestoient ia feru en la forest|Et toutes voies sieut il lez esclos dez cheuaus tant quil est uenus a lentree de la ; forest|Et lors encontra vne damoisele toute kenue,ché s erano già messi nella foresta||ch egli è venuto all entrata della foresta|Allora incontrò elli una dama tutta canuta
1293	qui chevalchoit molt cointement,qui cheuauchoit menlt coinctement toute descheuelee,que hera toda cana,qui cheualchoit moult noblement,che cavalcava molto contamente
1294	et estoit tote deslie ses treces par ses espaules comme pucele,ses tresches entre ses espaulles comment une pucelle,e lleuaua los cauellos tendidos porlas espaldas|como si fuese muy moça,et auoit sez treches toutes desloies par sez espaulles comme pucele,suo capelli isparti per sue spalle com una pulcella
1295|1296	et avoit en son chief l|chapel de roses,et auoit sur son chief ung chapiau de roses,e traia vn capillejo de Rosas enla cabeça,Et auoit en son chief chapel de roses,e avea in suo capo uno capello di rose
1297|1298|1299	kar c estoit entor la Saint Johan|Il le salue|et ele li dist,il la sallue|et elle luy dist,Ca hera|entonçe por sant juan|e lançarote lo saluo,quar ce estoit entor la saint iehan : Il le salue maintenant quil la uit|Et elle dist,ché ciò era intorno il Santo Giovanni|Elli saluta ed ella gli dice
1300|1301|1302	que bone aventure li doinst Diex|Damoisele fet il me savriés vos a dire|quel part uns chevaliers o unes armes vermeilles s en vet,que bonne aduanture luy dennast dieu damoiselle fait il aues uous point ueu passer par cy ung cheualier a unes armes uermeilles,e ella lo torno sus saludes Donçella dixo lançarote saberme yades enseñar|por do va vn Cauallero devnas armas bermejas,que diex li donnast boine auenture|Damsolisele fait sil me sasulries vous enseignier|quel part vns cheualiers sen uait|qui porte vnes armes uermeilles,che buona aventura gli doni lddio|Dama|disse Lancellotto|mi sapreste vo' dire in quale parti uno cavaliere a une armi vermiglie se ne va
	,,,,? —Al nome di Dio
	,,,,diss ella
1303|1304	? — En non Diex fet ele je le vos enseigneroie bien se je voloie|— Dites le moi fet il par covent,Eu nom dieu fait elle se ie uoulloie ie uous lenseigneroie bien dictes le moy fait il par tel conuenant,Por dios dixo ella yo voslo enseñare bien|si quisiere dezidme dixo lançarote|Por tal conuenençia,Enon dieu fait elle iou le vous enseigneroie bien se iou voloie|Dites le moi fait il par tel couuent,il voi insegnerei bene|s i' volesse|— Ditelme|disse Lancellotto
	,,,,per convento
1305	que je soie vostre chevaliers el premier lieu ou vos me requerrois,que ie soie uostre cheualier au premier lieu|que uous me requerres,que yo sea vuestro cauallero enel Primer lugar,que iou soie vos cheualiers el premier lieu ou vous me requerres,che sia vostro cavaliere nel primaio luogo|che vo me ne richiederete
1306|1307|1308	— Se vos me creantés fet ele|que vos me sievrois de|quel hore,se uous me promettes|que au pre,que me rrequerades Si vosme jurades dixo la donçella|que vayades conmigo|luego enla ora,Se vous me creantes fait elle|que vous me sieurres el premier lieu ou iou vous en semondrai,—|?Se vo' mi giurate|disse la vecchia|che vo'mi seguirete di qualche ora
1309	que vos en semoigne je le vos enseignerai,mier lieu ou ie uous requesray uous me aideres ie uous lenseigneray,que vos llamare yo voslo mostrare,iou le vous enseignerai,ch i vo ne riglia|io il vo insegnerò
1310|1311|1312|1313	Et cil li creante|dont il se repenti|puis molt durement tel hore fu|Or alés fet ele tot cest chemin,et il luy promet|denc depuys sen repentist,e lanzarote lo juro|luego donde el se arrepintio despues muy duramente tal ora fue Vos yredes poreste camino dixo la donzella,Et il li creante maintenant :|dont il fu|puis corocies|et moult se repenti tele heure fu|Ore ales fait elle tout chest chemin,Ed e' lel giura immantanente|donde si penté poscia duramente tale ora fu|“Or andate|diss ella|tutto questo camino
1314|1315|1316|1317	si li mostre I|sentier estroit|qui aloit al travers de la forest|Si ne tornés fet ele de nule part,Or alles fait elle tout ce chemyn en trauers de la forest sans tourner de nulle part,fasta que falledes vn sendero atrauieso dela floresta|e entonçe tomaredes aquel sendero,si li moustre|j|sentier estroit|qui aloit dentrauers la forest|si ne tornes nulle part,si gli mostra uno sentieri stretto|ch andava in traverso della foresta|sì non vi volgete|diss ella
1318	et quant vos avrois alé entor demie lieue,Quant uous aures cheuauche enuiron demye lieue,e desque hubieredes porel andado,Et quant vous asulres erre demie lieue,i'nulla parte|Se quando voi arete andato intorno a meza lega
1319|1320	si verrois delés I|vivier trois paveillons tendus,si uerres de les une riuiere trois pauillons la dedens trouueres le cheualier,quanto vna legua fallaredes antevn nogal tres tiendas Armadas,si troueres|iiij|uiuier|? tendus,si vedrete dallato uno vivaio intorniati quatro padiglioni tenduti
	,,,pauellons sor,
	,,,j,
1321	La dedens troverois le chevalier,,e enla vna dellas fallaredes el Cauallero,et la dedens troueres le cheualier,: di dentro troverete il cavaliere
1322|1323	que vos querés|que l en apele Arramant le Gros;,que uous demandes|et len lappelle arrement le gras,que buscades aque llaman aramante el grueso,que vous queres|que on apele atramant le gros|?,che vo' chiedete|che l uomo chiama Aramonte il Grosso
1324|1325	si le conoistrois a ces enseignes qu il a en mi le front II|plaies,et le cengnoistres a telles enseignes quil ha deux playes au frent,e vos lo conoçeredes porestas señales en medio dela frente ados llagas agora vos podedes yr,si le connistres a ces enseignes quil a en mi le front|ij|plaies,si 'l conoscerete a queste insegne|ch egli à nel miluogo del viso due colpi
1326	Or vos en poés aler,or uous en poues aller mes,,Or vous en poes aler fait elle,Or vo ne potete andare
1327	mais que vos m aiés dit vostre nom,que mayes dist uostre nen,mas anteme deçid|como auedes nombre,mais que vous me dites vostre non,ma'|che vo' m abiate detto vostro nome
1328	Et il se nome molt a envis,et il se nomme monlt enuiz,e el se nombro mucho amidos,Et il se nomme moult a enuis,|si noma molto ad invidia
1329|1330|1331|1332|1333	et totes voies li dist qu il a non Lancelot del Lac|Alez a Dieu fet ele||et s en vet tot le chemin qu ele li avoit enseigné|si grant aleure com il plus puet del cheval traire,et dist quil a a nen lancelot du lac|A tant sen ua lancelot tout le chemyn quelle luy a enseigne,e dixo yo he nombre Lançarote del lago Lançarote se partio|luego dela donçella|e fuese Porel camino|que ella hauia mostrado|e yua tan apriesa|quanto el cauallo podia andar,mais toutes voies li dist il quil a a non lancelot del lac|A tant sen uait lancelot tout le chemin|que elle li ot enseignie|si grant TTaleure comme il puet del cheual traire,e tuttavia le diss elli|ch egli à nome Lancellotto di Lac|Atanto
	,,e andubo,,
	,,asi fasta,,
1334|1335	tant que il atainst les chevaliers|que il sievoit,tant quil attaint le cheualiee,que alcanço los caualleros depos quien yba,tant quil ataint lez cheualiers as quil sieuoit,si parte dalla vecchia
1336|1337	Et cil lor i escrie|si haut,si luy escrie|si hault,e el les començo a dar vozes de,si lor escrie|si haut,
1338	que bien porent oîr,,quanto vido|que le podian oyr,que tout le porent bien oir,
1339|1340|1341	et maintenant li vient acorant li uns d eus l escu al col le lance el poing|et fu armés de totes armes|Et Lancelos le fiert,que bien le peult ouir maintenant luy uient a lencontre lun de lautre lescu au col la lance au poing armes de toutes pieces|et lancelot le fiert,e luego vino contrael vno delos caualleros el escudo al cuello|e la lança enla mano armado de todas armas|e lançarote lo yryo,Et maintenant li vint a lencontre li vns daus a cheual lescu au col la lance el poing|et fu bien armes de toutes armes|Et lancelot le fiert,e se ne va tutto suo camino
1342|1343	si que pour le hauberc ne remaint qu il ne li met par mi le cors le fer del glaive|si l empaint bien com cil,si durement quil luy met le fer du glaiue parmy le coprs,asi tan duramente|que porel escudo ni porla loriga no finco quele no metiese la lança pormedio del cuerpo|e dio conel gran cayda en tierra Como,si durement|que por le hauberc ne remaint il mie quil ne li mete parmi le cors le fer del glaiue|si lempaint bien comme cil,
1344|1345	qui assés ot|et cuer,,aquel que hera de Gran fuerça,qui ot alslses cuer,ch ella l avea insegnato
1346|1347	et force:|si le porte del cheval a terre,si le porte a terre,,et force|si le porte del cheual a terre,sì grande andatura come può del cavallo trarre
1348	et retrait son glaive a lui;,,,puis traist son glaiue a soi,
1349|1350	si voit I|autre venir tot appareillié de joster,et uoit ung aultre uenir tout prest de iouster,e Luego vino otro contrael aparejado de Justar,si en reuoit vn autre venir tout apreste de iouster,
1351|1352	et il nel refuse pas ains li torne le chief del cheval|et cil,et il ne le reffuse pas|et celuy,e lançarote no Rehuso ante boluio la Cabeza del cauallo alla,& il li torne le cheual|et cil,e tanto
1353	qui vint acorant li done tel cop en l escu,qui uient accourant luy donne tel coup sur son escu,do lo vyo venir|e el cauallero lo firio,qui uenoit acorant li donne tel cop sor son escu,
1354	que tote sa lance vole en pieces,que sa lance uolle en pieces,ansi que su lança le quebro En medio del escudo,que sa lance vole em pieces,
1355|1356|1357	Et Lancelos|qui un poi porta sa lance bas|l'ataint par desus l arcon de la sele a,et lancelot porte la sienne ung pou plus bas|si la actaint,e lançarote lo hirio|ansi vn poco baxo|asi ençima del arçon dela silla,Et il aporte la soie j|poi plus bas,ch elli agiugne il cavaliere
1358	si le fiert,et le fiert,,si le fiert,ch elli seguia
1359|1360	si que les mailes del hauberc ne pueent soffrir le grant cop|que li glaives ne li voist par mi le cors,si durement|que les mailles du haubers ne peurent le coup souffrir|que le glaiue ne lui uoit parmi le corps,asi quela loriga no lo pudo defender quela lança no le metiese pormedio del cuerpo,si durement|que lez mailles del hauberc ne porent soffrir le cop|que li glaiues ne li voist parmi le cors,
1361|1362|1363|1364|1365	si que li fers pert d autre part;|si l empainst|si durement qu il le porte a terre|et lui|et le cheval,si quil porte luy|et le cheual a terre,asi que la Lança paresçio dela otra parte|e Dio conel|e conel Cauallo envno en tierra Mucho se Marauillaron los otros Caualleros desto|e dixeron,si quil pert de lautre part|Et il lempaint|si durement quil porte lui|& le cheual a terre tout en|j|mont,donde loro piaga gran colpi là ov'elli l agiungono
1366	Et lors dient cil,Et lors dient ceulx,,Lors dient cil,
