a	b	c	d	e
2903|2904	— Non voir fet mesire Yvain|— Or en estes vos donc fet il a la bataille	Non voir fet mesire ywains|Ore est|dont a chou uenu fait li cheualiers|que vous en aies la bataille	por buena fee dixo don yban pues ala batalla sodes venido dixo el cauallero	— Non vere|diss elli|— Or ne siete|disse egli|dunque alla battaglia venuto	que ie uous rende mon cheual sãs coup ferir Orestes uous dõcuenu a la bataille dit le cheualier
				poscia	
2905|2906	puis qu autrement ne puet estre|Lors s eslonge li uns de l autre plus d un arpent	puis que autrement ne puet estre|	ca de otra manera non puede ser enel nombre de dios dixo don yban y luego se arredraron el vno del otro y dexaronse venir contrasy	ch altrimenti non può essere|Il EAllor|si slunga l uno dall altro più d una balestrata	car autrement ne peut estre|Lors se eslongnent lun de lautre
2907|2908	et s entrevienent|si tost com li cheval porent aler	puis sentreuienent quamque li cheual pueent Laler	quanto los cauallos los podian traer y el cauallero firio asy a don yban muy duramente	e si vengono|si tosto come i cavalli possono andare	⁊ se meuuẽt|si tost comme les cheuaulx peuẽt aller
				;	
2909|2910	Li chevaliers fiert mon seignor Yvain|si qu il li fet l escu percier	Si fiert li cheualiers monseignor ywain|si durement quil li a son escu fendu	que le fendio el escudo	e l cavaliere fiede monsignor Yvano sicché gli fa lo scudo aprire	Le cheualier fiert mõseigneur puain|si durement quil lui fent son eseu
2911	et fendre mes li haubers est	et depechiet|Mais li haubers estoit	mas la loriga era	ma lo asbergo est	
2912	si fors	si fors	asi buena	si forte	
		et si tenans			
2913	que maille n en derront	que maille nen derront	que malla no le Rompio	che maglia non ne rompe	
2914|2915|2916|2917	La lance vole en pieces|qui de grant vertu estoit enpainte;|et mesire Yvain|qui un poi porta sa lance bas le fiert	Et la lance vole en pieces|Et mesire ywains|qui sa lance portoit vn poi bas le fiert	e la lança bolo enpieças quede muy grande fuerça hera empujada y don yban|que llebaba la lança vn poco vaxa lo firio	e la lancia vola in pezi|che di gran virtù fu impinta||ch un poco portava la lancia bassa|el fiede	⁊ la lance uolle en pieces|Etmo Partie seigneur puain|qui portoit sa lance bas le fieit
2918	si que par mi l escu	si durement|que parmi lescu	ansi por medio del escudo	si che per me' lo scudo	si que parmi lescu
2919|2920|2921	et par mi le hauberc li met la lance el senestre costé; il l empaint bien comme cil|qui assés avoit vertu|et force	et parmi le hauberc li met la lance parmi le senestre coste|Si lempaint bien comme cil|qui estoit de grant force	que selo falso y la loriga y metiole la lança porel Costado siniestro muy Reçio|como aquel	e per me l asbergo gli mette la lancia nel sinestro costato||che molto era di gran forza	⁊ le haubert lui mit sa lãce par mile cosce senesice|⁊ lempaint
2922|2923|2924	si le porte del cheval a terre|puis retret son glaive|qui encore n estoit pas brisiés	si le porte ius de son cheual a terre|puis retrait son glaiue arriere|qui encore nestoit mie brisies	que hera detan gran fuerça y dio conel del cauallo a tierra y saco del su lança sana y luego tomo don yban el cauallo del cauallero y diolo ala donzella	si l porta del cavallo a terra|“Poscia ritrae sua lancia a llui|che ancora non era guari brisciato	si bien qͥl le porte du cheual a terre|puis cetire son glaiue qͥ nestoit pas encoies brise
2925	et gete les mains as resnes del cheval ;	& giete la main au resne del cheual		poscia getta la mano alla redina del cavallo	⁊ iecte les maĩs a la resgne du cheual
2926	si le prent	& le prent		si l prende	si le prent
2927|2928|2929	et le donee a la damoisele|Tenez fet il damoisele|Sui je cuites a vos	& le donne a la damoisele|qui o lui estoit uenue|et li dist Damoisele me sui iou uers vous aquites	que conel hauia venido y dixole donzella tomad este cauallo|e soy bien quito devos	e l dona alla damigella|e Tenete|diss elli|damigella|; son io cheto ancora ad voi	⁊ le donne a fa da moiselle qͥ auec lui estoit uenue|⁊ lui dit
2930|2931	? — Sire fet ele oil voir|— Or vos commant	Oil sire fait elle|Or vous commant iou		? — Oil|bel sire|diss ella|— Or vol comando	Te nez damoiselle suis ie bien a uous quicie Oy sire fait elle
2932|2933	donc a Dieu fet ¡l|Si s en vet maintenant	dont a dieu fait il|Lors sen part atant	si señor dixo ella pues agora vos encomiendo a dios dixo don yban ala donzella y luego se partio della y trauo asu demanda	diss elli|a dDios|	oi uous commade ie a dieu|Gi sen ua maintenant
2934|2935	et laisse cele del paveillon|qui fet trop grant duel de son ami	et laisse cele: del paueillon|qui moult grant doel faisoit de son ami	como de primero y dexo ala otra donzella façiendo muy gran duelo porel otro cauallero su amigo	e lascia quella nel padiglione|che fa troppo gran duolo per suo amico	⁊ laisse celle du paueillon|qui trop grant deul faisoit de son amy:
2936|2937|2938	qui navrés est|si qu ele cuide bien qu il muire|Et mesire vvain rest entrez en son chemin	qui naures estoit|si quide bien vraiement quil en muire|Et mesires ywains est entres en son chemin	que cuidaua|que hera muerto y don yban se fue su camino y andado fasta visperas	che fedito est|sicch ella crede bene|ch elli muoia|vE monsignor è rientrato in suo camino	car et le cuide bien uraiement quil en mture|Et mes sire puain rentie en son chemin
2939	si chevalche tot le Jor jusqu'ai vespre	et erra iusques as uespres		si cavalca tutto el giorno infin qua a vespero	Si ccra iusq̃s a uespies
2940|2941	et tors est issus de la forest|qui des le matin li ot duré jusqu a cele ore	Et lors est issus de la forest|qui li ot dure des la matinee	que encontro vna donzella saliendo dela floresta	Allora est uscito della foresta|che del mattino li ebbe durata infin qua quella ora	⁊ lors est issu de la forest
2942|2943	Et quant il vint a l issue|si encontre une damoisele	Et quant il vint dehors|si encontra vne damoisele		|si incontrò una damigella	Et puis a encontre une damoiselle grant deul faisãt
2944|2945|2946|2947|2948	qui faisoit le greignor duel del monde;|et mesire Yvain le salue|et li demande|por quoi ele plore|Por Dieu sire fet ele	qui faisoit le greignor doel del monde|Et mesire ywainz la salue|et li demande porcoi elle pleure	que venia façiendo el mayor duelo del mundo y don yban la saluo y la dixo donzella|que auedes|que asi llorades pordios señor	che facea el magior duolo del mondo|Monsignor Yvano la saluta|e le domanda perch ella piagne||sire|diss ella	Et monseigñr yuain lui demande pour quoy elle ploure
2949	por ce			per ciò	
2950|2951	que j ai trop grant duel|kar a mes amis m avoit baillié a garder le plus bel esprevier del monde	Sire fait elle mes amis me bailla iehui le plus bel esperuier del monde a garder	por que mi amigo me dio a guardar vn gauilan el|mas fermoso del mundo	ch i' ò troppo gran duolo|ché mio amico m avea dato a guardare el più bello falcon del mondo	Par dieu fait elle poutce q̃ mon a mi mauoit donne le plus beau espreuier a gar der du mõde
2952|2953	et qu il plus amoit;|si l enportoie en nostre recet	& que il moult amoit|si le portoie a|j	que el mucho amaua y yo traialo aun anuestra Casa y venia	e ch elli più amava|;|si l portava io a uno nostro ricetto	
2954	qui est assés pres de ci	nostre reche t		ch è assai presso di qui	
2955|2956|2957|2958	et en ce|que je m en venoie par devant une loge galesche|si sailli fors uns chevaliers|qui le m a tolu	Et en chou|que iou men uenoie par deuant vne loge galesche|si sailli hors de le loge vns cheualiers|qui le me toli	por antevna Ramada y salio ami vn cauallero y tomomelo y agora matarme ami amigo|quando lo supiere	e in ciò|ch io me ne venia per davanti una loggia gallesca|si n usci fuori uno cavaliere|che me l à tolto	⁊ ainsi q̃ ie passoie par deuãtune loge gallesche il saillist ung cheualier hors qͥ le me osta
2959|2960|2961|2962	Et mes amis l amoit sor tote rien :|si cuit qu il b m en ocirra|kar il cuidera miels|que je l aie doné	Et mes amis mocirra pour chou quil quidera mie|que iou le li aie donne	ca mucho lo amaba|e cuidara|que yo selo di demi grado al cauallero|que melo tomo	|sicché m uccidrà|: già so io bene|ch e crederà meglio|ch io gliel'abia donato	⁊ pource q̃ mon ami laymoit il cui¬ dera mieulx|que ie laie dõne qͥl me ait este tol lu
2963	que il le m ait ensi tolu	que il le mait tolu		ch elli el m abbia insi tolto	si mẽ saura mal gre
2964	et por ce vois je tel duel menant	Et por chou fai iou tel doel com vous uees	e poresto fago este duelo	e perciò vò io tal duolo menandos	Et cest la cause de mõ deul
				— Hal	
				damigella	
2965|2966	— Damoisele fet mesire Yvain or ne vos dementés plus|mais retornés	Damoisele fet mesire ywains ore ne plores plus|mais retornes	que vos	disse monsignore Yvano|or non voi dismagate più|ma ritornate	Aimoiselle fait mesfire yuain retournez
2967|2968	et me mostrés celui|qui vostre oisel a	& me moustres celui|qui vostre oisel a	asi vedes Como don yban derroco al cauallero	e mi mostrate quelli|che vostro uccello à	⁊ me monstrez celui|qui a uostre oiseau
2969|2970|2971	Et ie vos creant|que je le vos rendrai a mon pooir e|— Ha sire fet ele de Dieu soiés vos beneois ! Maintenant retorne la pucele	Et ie vous creant|que iou le vous rendrai|ou iou serai telx conrees|que iou ne porrai aidier ne a moi ne a autrui|ha y sire fait la damoisele de dieu soies vous beneis|Lors retorne	que lleuaua el gauilan ala donzella y selo dio Donzella dixo don yban tornad y mostradme el cauallero	; ed io vo giuro|ch io el vo renderò o io sarò tale concio|ch io non mi potrò atare me né altrui||sire|diss ella|da Dio siate benedetto	⁊ ĩe uous prometz q̃ ie le uous rẽdrap ou iese ray tel cõroie q̃ ie ne pourrap aider moy ne au tre|Haa sire fait la damoiselle de dieu soiez uous benit
					
2972	et maine mon seignor vvain tot le chemin qu ele estoit venue tant qu il vienent en une valee	& maine monseignor ywain tout le droit chemin quele estoit venue|Tant quil vienent a vne ualee		e ne mena monsignor Yvano tutto l camino|ch ella era venuta	Et maĩtenãt retour ne la damoi¬ selle|⁊ ẽmaine monseigneur puain tout le che min
				tanto	
				ch elli viene a una vallata	
		Lors li moustre la damoisele			
2973|2974	Et lors li mostre un poi en sus del chemin a senestre la loge|dont li chevaliers issi	j|poi hors del chemin a destre partie vne loge galesche|dont li cheualiers issi		Allor gli mostra|un poco in su del camino|donde el cavaliere usci di cui ella	que elle estoit uenue tant quilz uiennent en une uallee
				a sinestra partita	
				la loggia	
2975|2976	dont ele se plaint|Venés avant fet il seurement	dont elle sestoit plainte|Et mesire ywain dist a la damoisele		si piagne||disse monsignor Yvano|tutto sicuramente	Lors lui mõstre la damoiselle la lage du cheualier de quoy elle se plaĩt Ue nez auant fait messire puain:
				damigella	
2977	et se vos veez l esprevier	Se vous uees vostre oisel		;|e se vo' vedete il falcone	⁊ se uous uoiez uostre esp̃uier
2978	si le prenés ja	si le prendes		si lui cogliete	si le prenez
2979	por nului nel laissiés	ia pour nullui ne le laissies		già per lui non lasciate	⁊ pour nul ne le les¬ sez
2980	Et je vos creant loialment	Et iou vous creant	ca yo vos prometo	“Ed io vo giuro lealmente	
2981	que je le vos garantirai a mon pooir contre tos cels	que iou vous garantirai a mon pooir encontre tous chiaus		ch il voi guarentirò a mio podere incontro a tutti huomini	
2982	qui le voldront contredire	qui le vous voldront contredire		ch il vo vorrà contradire	
2983	Et se li espreviers n i est	Et se li esperuiers ni est		;'e se l falcon non v è	⁊ se lespreuier np est
2984	si me mostrez le chevalier	si me monstres li cheualier		si mi mostrate quelli	si mõsteez le cheualier
2985	qui le vos toli	qui le vous toli		che llo vi tolse	qui le uous a oste
2986|2987	et jel vos ferai amender tot a vostre volenté|— Sire fet ele de Dieu aiés vos bone aventure !	Et iou le vous ferai amender tout a vostre uolente|Cire fait|dont la damoisele de dieu soies vous beneis		e io el vo farò amendare tutto a vostra volontà|— ire|diss ella|da Dio abbiate voi buna aventura	⁊ ie le uous ferap amẽder a uostre uoulẽte Sire fist elle de dieu soiez uꝰ benit
2988|2989|2990|2991|2992	Mais je voldroie miels|que vos le me poissiés rendre a pes|que a guerre|— Par Dieu fet il se ie ne le|puis avoir par debonaireté	Mais iou amaisse K miex|que vous le me rendissies em pais sil pooit estre|que par force|Par Sdieu fet mesire ywains se iou ne le|puis auoir par debonairete	que yo vos devuestro gauilan o yo sere y tal|que mas no pueda y fazer enel nombre de dios dixo la donzella yo yre convos y voslo mostrare al cauallero y luego se torno con don yban y andubieron tanto	ma io vorei meglio|che voi me l poteste rendere in pace|che per guerra|— Per fé|disse monsignore Yvano|s i' nol posso avere per dibuonarità	mais ie apmeroie mieulx q̃ uous me se fissez auoir par paix|que par guerre Par dieu fait messire puain se ie ne le|puis auoir par de bõnairete
2993	si l avrai je par force	si lafilrai iou par force		si ll arò io per forza	si lauray ie par guerte
2994|2995|2996	Lors sont venu a la loge; sí entre mesire Yvain tos premiers|et la damoisele aprés|Et mesire Yvain ne salue nul de cels de laiens ains dist	Lors sont uenu a la loge|si entre mesire vwain ens tous premiers|et la damoisele apres|mais il ne salue pas cheaus de laiens Ains dist	que llegaron ala Ramada ado estaua el cauallero y la donzella se lo mostro don yban	Allor son venuti insino alla loggia|si v entrò monsignor Yvano tutto primieri|e la damigella apresso||anzi disse	Lors sõt en|trez dedens la loge Monseigneur puain ne sa lue point ceul x de leans ains parle
					si hault q̃ tous le peurent bien ouir:
2997	si haut	si haut		si alto	⁊ dit
2998	que tuit le porent oïr Damoisele venés avant	que tot le porent oir|Damoisele uenes auant :		che tutti el poterono udire|: aDamigella	Menez auant damoiselle
				venite avanti	
2999|3000	et si Prenés vostre esprevier se vos saiens le poez veoir ;|si l enportez ausi a droit com il en fu portez a tort a	si prendes vostre oisel		si prendete vostro ucello|se vo qua entro el potete vedere|:|si ne l portate a diritto|altresi come vi fu tolto a torto	⁊ p̃nez uostre espreuier se uous le pouez ceans ueoir|⁊ lẽportez adroit|aĩsi cõme a toit on le uous auoit tollu
				— Sire	
				diss ella	
3001	Sire fet ele volentiers ausi le voi je la	Sire fait elle volentiers aussi le uoi iou la		volentieri|ché insi il vegh io là	sire fist el le uou lentiers
