,,micha_ii-48.txt,sommer_tome_4-ii-48.txt,lanzarote-ii-48.txt,lancellotto-ii-48.txt,inc-ii-48.txt,fr111-ii-48.txt,fr751-ii-48.txt
860,1320|1321|1322,que bien porent oîr|et maintenant li vient acorant li uns d eus l escu al col le lance el poing|et fu armés de totes armes,que tout le porent bien oir|Et maintenant li vint a lencontre li vns daus a cheual lescu au col la lance el poing|et fu bien armes de toutes armes,quanto vido|que le podian oyr|e luego vino contrael vno delos caualleros el escudo al cuello|e la lança enla mano armado de todas armas,donde loro piaga gran colpi là ov'elli l agiungono ené unque per podere,que bien le peult ouir maintenant luy uient a lencontre lun de lautre lescu au col la lance au poing armes de toutes pieces,que bien le peurent ouyr|Et adonc luy uient courant lun deulx lescu au coul la lance ou poing|et fu arme de toutes armes,que bien le pueent entandre|et maintenant li uient acorant li uns daus lescu au col la lance el poing|et fu armes de toutes armes
861,1323,Et Lancelos le fiert,Et lancelot le fiert,e lançarote lo yryo,,et lancelot le fiert,Et lancelot le fiert,et lancelot le fiert
862,,,,,,,,si que
863,1324|1325|1326|1327,si que pour le hauberc ne remaint qu il ne li met par mi le cors le fer del glaive|si l empaint bien com cil|qui assés ot|et cuer,si durement|que por le hauberc ne remaint il mie quil ne li mete parmi le cors le fer del glaiue|si lempaint bien comme cil|qui ot alslses cuer,asi tan duramente|que porel escudo ni porla loriga no finco quele no metiese la lança pormedio del cuerpo|e dio conel gran cayda en tierra Como|aquel que hera de Gran fuerça,ch elli abbiano no lli possono torre terra anzi,si durement quil luy met le fer du glaiue parmy le coprs,si que pour le haubert ne demeure quil ne luy mecte le fer du glayue parmy le corps|Il lempanit bien comme cil|qui auoit assez cuer,por le haubert ne remaint:|que il ne li meste parmi le cors|et le fer|et la glauie|Si lenpant bien comme cil|qui auoit assez cuer
864,1328,et force:,et force,,,,et force,et force
865,1329,si le porte del cheval a terre,si le porte del cheual a terre,,,si le porte a terre,si le porte du cheual a terre,Si le porte a terre
866,1330|1331|1332,et retrait son glaive a lui;|si voit I|autre venir tot appareillié de joster,puis traist son glaiue a soi|si en reuoit vn autre venir tout apreste de iouster,e Luego vino otro contrael aparejado de Justar,si va per me' loro molte fiate qualche grado,et uoit ung aultre uenir tout prest de iouster,et retraict son glaiue a luy|Si uoit ueniir ung autre tout appareille de iouster,et retrait son glaiue a lui|Si uoit un autre uenir a lui tout aparillie de ioster
867,1333|1334,et il nel refuse pas ains li torne le chief del cheval|et cil,& il li torne le cheual|et cil,e lançarote no Rehuso ante boluio la Cabeza del cauallo alla,,et il ne le reffuse pas|et celuy,et il ne li refuse pas ains luy tourne le chief du cheual|et cil,et il nel refuse pas|ains li torne le chief del cheual|et cil
868,1335,qui vint acorant li done tel cop en l escu,qui uenoit acorant li donne tel cop sor son escu,do lo vyo venir|e el cauallero lo firio,,qui uient accourant luy donne tel coup sur son escu,qui uient courant luy donne tel cop sur lescu,qui uint acorant li done tel cop sor lescu
869,1336,que tote sa lance vole en pieces,que sa lance vole em pieces,ansi que su lança le quebro En medio del escudo,,que sa lance uolle en pieces,que toute sa lance uole en pieces,que la lance uole tote en pieces
870,1337|1338|1339,Et Lancelos|qui un poi porta sa lance bas|l'ataint par desus l arcon de la sele a,Et il aporte la soie j|poi plus bas,e lançarote lo hirio|ansi vn poco baxo|asi ençima del arçon dela silla,,et lancelot porte la sienne ung pou plus bas|si la actaint,Et lancelot|qui ung pou porta sa lance bas lactant par dessus larcon de la sele,et lancelot|qui tuit sa lance|i|pou bas le fiert par desus larson de la sele
871,1340,si le fiert,si le fiert,,,et le fiert,si le fiert,Et le fiert
872,1341|1342|1343|1344,si que les mailes del hauberc ne pueent soffrir le grant cop|que li glaives ne li voist par mi le cors|si que li fers pert d autre part;|si l empainst,si durement|que lez mailles del hauberc ne porent soffrir le cop|que li glaiues ne li voist parmi le cors|si quil pert de lautre part|Et il lempaint,asi quela loriga no lo pudo defender quela lança no le metiese pormedio del cuerpo|asi que la Lança paresçio dela otra parte|e Dio conel,,si durement|que les mailles du haubers ne peurent le coup souffrir|que le glaiue ne lui uoit parmi le corps|si quil porte luy,si que les mailles du haubert ne peuent souffrir le grant coup|Et le glayue luy ua parmy oultre le corps|si que le fer pert de lautre part|et il lempaint,si que les maillez de haubert ne pue en soufrir le grant cop|et li glaiuez li pert de lautre part|et il len paine
873,1345|1346|1347,si durement qu il le porte a terre|et lui|et le cheval,si durement quil porte lui|& le cheual a terre tout en|j|mont,e conel Cauallo envno en tierra Mucho se Marauillaron los otros Caualleros desto|e dixeron,,et le cheual a terre,si fort quil porte a terre luy|et le cheual ensemble,si durement|que il porte|et lui|et le cheual ensanble a terre
874,1348,Et lors dient cil,Lors dient cil,,,Et lors dient ceulx,Et lors dient ceulx,Et lors dient cil
875,1349,qui devant s en aloient,qui deuant sen uont,,,qui deuant sen alloient,qui deuant sen aloient,qui deuant sen alorent
876,1350|1351|1352,que molt joste bien li chevaliers quant|Il|de lor meillors compaignons a ensi abatus,que bien iouste li cheualiers qui|ij|de lor compaignons a abatus,que mucho Justaua bien el Cauallero|Que dos delos mejores Conpañeros auia derribado,,que monlt iouste bien le cheualier|Quant lancelot eust rompu sa lance il mest la maina lespee,que moult iouste bien le cheualier|qui a ainsi abatu deux de leurs compaignons,que moult ioste bel li cheualier|que deus de nos mallors cheualiers a abatus
877,1353|1354,Et Lancelos laisse corre a els tos|qui encore estoient nuef;,Et lancelot laisse corre a aus tous quencore estoient,e lanzarote se lanço|entonçe entre ellos|que heran veinte,,et lesse courre uers les aultres|qui estoient uingt,Et lancelot laisse courre es autres|qui estoient encor neuf,et lancelot lait corre a aus|qui encor estoient
878,1355|1356|1357,si ot l espee traite|por ce|que ses glaives estoit brisiés al chevalier qu il ot derrainement abatu ;,xij|Si trait lespee|quar ses glaiues iert brisies au cheualier quil auoit daarrainement abatu,e el conla espada enla mano|que la lança hera quebrada,,,si eut lespee traicte par ce|que son glayue estoit brise au cheualier quil auoit dernierement abatu,ix|Si trait lespee|que ses glaiues estoit abatus|et brisiez au daurien cheualier
879,1358,si lor detrenche lor escus,Si lor detrence escus,e començo a derribar escudos,,si leur despiece escus,si leur detranche les escuz,Si lor detranche lor hiaumes
880,1359,et lor depiece lor hialmes,& lor pechoie heaumes,e a cortar yelmos,,et detrenche leurs heaulmes,et leur depiece leurs heaumes,
881,1360|1361,et lor ront les haubers sor les bras|et sor les espaules;,& derront haubers,e lorigas ençima de braços|e de espaldas,,,et leur derompt les haubers sur les braz|et sur les espaules,et lor uont Lor haubers sor|Les bras|et sor les espaulez
882,1362,si fet tant par sa proesce,si fait tant par sa proece,asi que tanto hizo Porsu proeza,,et fist tant par sa proesse,Si fait tant par sa prouesce,Si fait tant par sa proesce
883,1363|1364,que tuit cil|qui le voient s en merveillent,que tuit cil|qui Ie voient sen esmerueillent,que quantos lo vian se marauillauan ende mucho,,que tous ceulx qni le uoient en sont esmerueillies,que tous ceulx|qui le uoyent sen merueillent,que tuit cil|qui le uoient sen esmaient|et merueillent
884,1365|1366,Et la ou il voit le chevalier as armes vermeilles|si nel mesconoist pas ains li adresce par mi els tos,Et la ou il voit le cheualier as armes uermeilles|si ne le mesconnut mie ains li adrece le cheual parmi euls tous,e Quando vido el Cauallero delas armas vermejas ende endereço contrael,,Et la ou il uoit le cheualier aux armes uermeilles|si luy adreche son cheual parmy tous eulx,et la ou il uoit li cheualier es armes uermeilles|si ne le mescognoist pas ains luy adrece parmy eulx tous,Et la ou il uoit le cheualier as armes uermeilles:|Si ne le mesquenoit pas ains li adresce parmi aus cous
885,1367|1368|1369|1370,et li done|si grant cop par mi le hialme|que cil est|si estordis qu il ne se puet es arçons tenir ains vole a terre,et li donne|si grant cop parmi le heaume quil ne se puet tenir es archons|ains cai a terre,e dixo esperad Cauallero|e diole vn tal golpe dela espada de toda su fuerça sobre el yelmo|que dio conel en tierra estendido,che n abbino,et luy donne tel coup sus le heaulme quil ne se peult tenir aux archons|mes uolle a terre,et luy donne|si grant coup par le heaume quil est|si estourdy quil ne puet tenir es arcons ains uolt a terre,et li done|si grant cop parmi le hiaume|que cil est|si estordiz quil ne se puet es arsos tenir ains uole a terre
886,1371|1372,Et Lancelos li va par desus le cors a cheval|tant que cil pert la vertu,Et lancelot li uait par desor le cors|tant que tout le debrise,e traxo al cauallo tantas vezes sobre el quelo dexo medio muerto,,et lancelot luy ua denner|si grant coup sus le col tant quil pert sa forche,Et lancelot luy uait par dessus le corps tout a cheual|tant quil par sa uertu,et lancelot li ua par desus le cors A cheual|si que tout le cors li debrise
887,1373|1374|1375|1376|1377,et la force tote a|Et lors sont li autre molt esmaié|kar bien cuident|que cil soit mors|qui lor sires estoit;,Lors sont li autre moult esmaie|quar il quident quil soit mors|Et il estoit lor sires,e quando los otros caualleros esto uieron fueron muy escaidos|Ca bien Cuydauan|que su señor hera muerto,E di tanto gli avenne elli bene,et sa uertu|Lors sont les aultres bien esmayes|car il cuident|que leur maistre soit mort,et son alanie|Et lors sont tous les autres moult esmayez|car bien cuident|que leur sire soit mort,et li faut la uertus|et li forte tote Lors sont tuit li autre esmaiet|Car bien cuident|que cil soit mors|qui lor sires estoit
888,1378,si se metent en paine del vengier,si se metent en paine de lui uengier,e metieronse en auentura de muerte lo vengar,che non agiugne cavaliere a colpo,Si se mettent en paine de le uenger,si se mectent en peine de le uanger,Si ce mestent en painne de lui uangier
889,1379,et corent sus a Lancelot tuit ensamble,Si corent sus a lancelot,e dexaronse yr ael muy determinadamente|e lançarote,,et courent sus a lancelot,et courent sus a lancelot,et courent sus lancelot|tuit
890,,,,,,,,ensanble
891,1380|1381|1382|1383|1384,Mais il nel truevent pas|si esbahi qu il ne soit tos pres de soi deffendre;|si lor abandone son escu|et tient l espee|dont il lor done grans cops par la ou il les ataint ne onques,mais il ne le trueuent pas esbahi|Ains est pres de lui desfendre|si lor abandonne son escu|& lor donne grans cols la ou il lez puet ataindre|Ne onques,que desto no se espanto ni vn poco|Ca bien se cuydaua defender baldonaua a todos su escudo|e daba tales Golpes consu espada,che non gli faccia sentire la spada nella carne ignuda|e elli il porta del cavallo a terra,mes ilz ne le treuuent pas esbahy mes est prest de se deffendre|si leur habandonne son escu,mais ilz ne le treuuent pas|si esbahy quil ne soit tout pest de soy desfandre|si leur habandonne son escu|et tient lespee|dont il leur donne grans coups par la ou il les actaint,Mais ne le trueuent pas|si esbahit :|que il ne soit tous pres de lui desfandre|Si lor abandone son escu|et ci ot lespec|dont il lor done grans cox|par la ou il les ataint
892,,,,,,,,et onques
893,1385,por pooir qu il aient ne li porent tolir terre ains se met par mi els maintes fois,por pooir|que il eussent ne li porent tolir terre,,,,ne oncques pour pouoir quilz ayent ne luy peurent tollir place,por pooir quil aient ne li purent tolir terre ains sen ua parmi aus tous maintes fois
894,1386|1387|1388,quel gré qu il en aient|Et de tant li avient il bien qu il n aconsieut chevalier a droit cop qu il ne face s espee sentir en char nue ou il nel port del cheval a terre:|si lor esrache les escus des cols,Ains ua sor aus a force|& mal gre auls|Et de tant li auint il bien quil nataint cheualier a cop quil ne li face lespee sentir en|car nue|ou il le porte del cheual a terre,Que aquel|que alcançaua aderecho golpe le fazia sentir la espada enla carne desnuda|e daua conel del cauallo en tierra|e les quebranto los yelmos enlas cabeças,:|si loro arappa gli scudi di collo,et il ne a censuict cheualier a coup quil ne luy face lespee sentir iusques en la char ou quil ne le porte du cheual a terre,ains sen uait manitefoiz parmy eulx quelque gre quilz en ayent|Et de tant luy aduient il bien quil naconsuyt cheualier adroit cop a|qui il ne face sentir sespee en la char nue ou quil ne le porte du cheual a terre|si leur arrache les escuz des couls,quel gre|que il auient|et detant li auient il bien quil nataint cheualier a droit cop; quil nel face santir en char nue|ou il ne le port del cheual a terre|si lor esrache les escuz des cox
895,1389|1390,et les hialmes des testes|et lor decoupe poins,Si lor arache lez heaumes des testes,e les cortaba piernas,e gli elmi di testa|e lor colpa pugna,,et les heaumes des testes|et leͬ decoupe poins,et les hiaumes des testes|et lor decope|et poins
896,1391,et bras a,,e braços|e,e braccia,Et les a,et braz,et bras
897,,,,asi que quanto alcançaua todo lisiaba,,,,
898,1392,et se hurte en els de cors,et se hurte entreuls de cors,Que delos golpes dela espada,e si percuote in loro di corpo,,Et se hurte a eulx de corps,et se hurte en aus|de cors
899,1393,et de cheval ;,& de cheual,que delos Pechos del caballo,e di cavallo,,et de membres|et du pis du cheual,et de manbres
900,1394,si en a V,si en a|y,e asi abia los çinco a tales partido,e di braccia,,si en a u,Si en a|u
901,1395|1396,si atornés qu il gisent a terre|si conreé qu il n ont pooir de relever,tels atornes|que il gisent a terre|& nont pooir de euls releuer,que non podian bollir pie ni mano tales yazian en tierra,si n à tali cinque atornati|che giacciono in terra|si conci|che non ânno podere di lor rilevare,si bien attournes quil en y a cinq gisans sur terre tellement quilz ne se peuent releuer,si atournez quilz gisent a terre|si conreez quilz nont pouoir de soy releuer,si accenes quil non pooir de leuer eux
902,1397,Quant li autre voient ce,Et quant li autre uirent chou,e quando los Caualleros vieron las marauillas de armas|Que el façia,E quando gli altri vidono ciò,Et quant les aultres uoient,Et quant les autres uoyent ce,Et quant li autre uoient ce;
